Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
39,Victor Oladipo,2018-19,26,IND,NBA,36,.519,18.8,36,1147,17.8,.367,.240,2.1,17.2,9.8,24.9,2.6,0.9,11.2,27.9,104,103,0.5,2.1,2.6,.108,1.2,1.2,2.4,1.3
40,Danilo Gallinari,2018-19,30,LAC,NBA,48,.626,18.7,48,1472,19.7,.439,.440,3.1,17.3,10.4,12.3,1.1,0.8,8.5,22.6,124,112,4.3,1.2,5.4,.177,3.8,-1.2,2.6,1.7
41,J.J. Redick,2018-19,34,PHI,NBA,54,.611,18.6,41,1683,15.6,.574,.245,1.1,6.4,3.8,13.6,0.6,0.5,8.7,22.4,118,115,3.5,0.8,4.3,.124,2.9,-3.5,-0.6,0.6
42,Lauri Markkanen,2018-19,21,CHI,NBA,35,.562,18.5,34,1131,17.1,.437,.215,4.2,25.4,14.8,6.6,1.2,1.9,9.0,24.6,106,110,0.8,1.1,1.9,.082,-0.3,-1.3,-1.7,0.1
43,Jamal Murray,2018-19,21,DEN,NBA,51,.527,18.3,50,1707,15.0,.333,.188,3.0,10.9,6.9,22.0,1.2,1.0,12.1,25.2,107,112,1.5,1.3,2.8,.079,0.4,-1.5,-1.0,0.4
44,Derrick Rose,2018-19,30,MIN,NBA,41,.559,18.2,13,1169,19.5,.216,.212,2.4,8.1,5.2,27.7,1.1,0.8,9.2,26.4,115,116,2.5,0.4,2.9,.118,2.7,-2.7,0.0,0.6
45,T.J. Warren,2018-19,25,PHO,NBA,43,.580,18.0,36,1360,16.5,.295,.203,2.5,12.0,7.2,7.8,1.8,1.8,7.2,22.7,111,116,1.7,0.5,2.2,.078,0.3,-1.7,-1.4,0.2
46,Andrew Wiggins,2018-19,23,MIN,NBA,51,.481,17.9,51,1772,12.1,.281,.264,3.8,11.2,7.4,10.4,1.5,1.5,9.2,24.7,99,113,-0.6,1.1,0.5,.014,-2.0,-1.2,-3.2,-0.5
47,Clint Capela,2018-19,24,HOU,NBA,42,.642,17.6,42,1436,24.4,.000,.349,15.7,25.9,20.6,7.4,0.9,4.5,10.1,19.3,131,110,5.0,1.5,6.4,.215,1.5,1.0,2.6,1.6
48,Josh Richardson,2018-19,25,MIA,NBA,54,.546,17.6,54,1872,14.5,.447,.232,2.2,8.7,5.5,17.7,1.5,1.2,10.0,22.0,111,110,2.4,1.9,4.3,.111,1.3,-0.6,0.7,1.3
49,Harrison Barnes,2018-19,26,TOT,NBA,52,.536,17.4,52,1692,13.1,.439,.273,2.6,11.8,7.3,6.6,1.1,0.5,8.0,23.1,106,112,1.1,1.4,2.5,.071,-0.8,-1.8,-2.6,-0.3
50,Andre Drummond,2018-19,25,DET,NBA,53,.544,17.4,53,1748,22.4,.045,.357,16.3,33.9,24.7,6.2,2.4,4.4,12.7,23.7,109,100,1.9,3.8,5.7,.156,-1.6,3.2,1.6,1.6
51,Jordan Clarkson,2018-19,26,CLE,NBA,57,.539,17.2,0,1542,17.3,.377,.149,3.8,10.7,7.1,16.4,1.4,0.6,9.7,28.6,106,119,1.2,0.0,1.3,.040,1.8,-3.4,-1.6,0.2
52,Spencer Dinwiddie,2018-19,25,BRK,NBA,49,.598,17.2,4,1399,17.5,.440,.418,1.6,7.7,4.6,27.9,1.0,0.6,13.9,24.7,117,114,3.2,0.8,4.0,.136,2.8,-2.6,0.2,0.8
53,De'Aaron Fox,2018-19,21,SAC,NBA,56,.548,17.2,56,1760,17.8,.219,.384,1.9,10.4,6.1,32.6,2.5,1.4,16.2,24.6,109,110,2.0,1.7,3.8,.103,0.9,0.0,0.9,1.3
54,Khris Middleton,2018-19,27,MIL,NBA,54,.556,17.1,54,1679,15.7,.428,.224,1.8,16.7,9.7,19.2,1.6,0.3,12.6,23.8,108,105,1.6,2.7,4.3,.123,0.3,0.3,0.6,1.1
55,Brandon Ingram,2018-19,21,LAL,NBA,46,.538,17.0,46,1538,12.5,.124,.387,2.4,12.2,7.4,13.1,0.8,1.4,13.6,22.7,102,112,0.1,1.3,1.3,.042,-2.7,-0.5,-3.2,-0.5
56,Trae Young,2018-19,20,ATL,NBA,58,.519,16.9,58,1743,14.5,.386,.310,2.3,9.6,5.9,39.0,1.4,0.6,19.5,27.4,102,117,0.3,0.5,0.7,.020,0.0,-3.0,-3.0,-0.4
57,Bojan Bogdanovic,2018-19,29,IND,NBA,58,.615,16.8,58,1845,15.2,.381,.271,1.7,12.0,7.0,8.3,1.3,0.0,10.2,20.9,114,108,2.8,2.3,5.0,.131,1.2,-1.0,0.1,1.0
58,Ben Simmons,2018-19,22,PHI,NBA,57,.587,16.8,57,1928,20.2,.004,.474,7.2,21.0,14.3,35.5,1.8,1.7,20.1,22.2,114,107,3.5,2.6,6.1,.152,1.5,2.6,4.1,2.9
59,Nikola Mirotic,2018-19,27,NOP,NBA,32,.591,16.7,22,925,17.8,.568,.248,5.3,24.1,14.9,5.4,1.1,2.2,7.6,21.9,116,111,1.7,0.9,2.6,.133,1.7,-1.8,-0.1,0.5
60,Deandre Ayton,2018-19,20,PHO,NBA,53,.612,16.5,52,1639,21.0,.006,.207,11.2,27.2,19.0,10.8,1.2,2.5,11.8,21.4,117,112,3.3,1.2,4.6,.134,0.3,0.4,0.8,1.1
61,Jayson Tatum,2018-19,20,BOS,NBA,58,.557,16.5,58,1807,16.1,.313,.239,3.4,18.2,10.8,9.0,1.6,2.4,9.1,22.5,109,106,1.8,2.7,4.5,.120,-0.8,0.5,-0.3,0.8
62,Eric Gordon,2018-19,30,HOU,NBA,45,.516,16.1,31,1458,11.1,.590,.181,1.1,8.0,4.4,10.1,0.8,1.2,8.5,22.8,104,117,0.5,0.3,0.8,.026,-1.1,-3.4,-4.5,-0.9
