Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB_PCT,DRB_PCT,TRB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
163,Alex English,1983-84,30,DEN,NBA,82,.570,26.4,77,2870,22.2,.004,.249,7.7,9.3,8.5,20.9,1.3,1.7,10.5,27.9,114,113,7.2,1.0,8.2,.136,4.7,-1.4,3.3,3.9
164,Allen Iverson,2007-08,32,DEN,NBA,82,.567,26.4,82,3424,20.9,.177,.512,1.5,6.1,3.8,27.4,2.2,0.2,11.4,26.7,115,109,8.9,2.8,11.6,.163,3.5,-1.9,1.6,3.1
165,Allen Iverson,2003-04,28,PHI,NBA,48,.478,26.4,47,2040,19.3,.177,.404,2.0,8.2,5.1,34.4,3.1,0.2,13.6,35.3,96,102,0.5,2.3,2.8,.066,3.1,-0.6,2.5,2.3
166,LeBron James,2016-17,32,CLE,NBA,74,.619,26.4,74,2794,27.0,.254,.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,119,108,9.8,3.0,12.9,.221,6.8,1.6,8.4,7.3
167,Allen Iverson,2006-07,31,TOT,NBA,65,.540,26.3,64,2761,19.6,.150,.465,1.0,6.9,4.0,29.6,2.2,0.3,14.5,29.3,106,108,4.0,2.2,6.2,.108,2.2,-1.5,0.8,1.9
168,Bernard King,1983-84,27,NYK,NBA,77,.619,26.3,76,2667,22.7,.003,.403,5.6,12.3,9.0,11.1,1.4,0.4,10.7,28.7,119,105,8.6,3.5,12.1,.218,4.4,-0.9,3.6,3.7
169,Shaquille O'Neal,1998-99,26,LAL,NBA,49,.584,26.3,49,1705,30.6,.001,.563,13.1,22.6,18.0,14.4,1.1,3.5,10.0,32.4,115,102,7.2,1.9,9.0,.255,6.2,0.1,6.3,3.6
170,Kareem Abdul-Jabbar,1980-81,33,LAL,NBA,80,.616,26.2,,2976,25.5,.001,.379,7.6,21.5,15.0,13.6,0.9,4.0,12.8,26.3,118,101,9.6,4.6,14.3,.230,3.9,1.4,5.3,5.4
171,George Gervin,1982-83,30,SAS,NBA,78,.561,26.2,78,2830,20.5,.021,.390,4.4,9.1,6.9,14.0,1.4,1.3,12.0,29.1,112,108,7.6,1.8,9.4,.159,2.7,-1.6,1.1,2.2
172,Damian Lillard,2018-19,28,POR,NBA,54,.589,26.2,54,1908,23.6,.401,.343,2.3,10.9,6.7,29.0,1.6,1.0,11.3,30.1,119,111,6.0,1.7,7.7,.194,6.0,-1.1,4.9,3.3
