Rk,Player,Season,Age,Tm,Lg,PTS,TS_PCT,eFG_PCT,WS_48,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_PCT,2P_PCT,3P_PCT,FT_PCT
84,Anthony Davis,2016-17,23,NOP,NBA,28.0,.580,.518,.195,75,75,36.1,10.3,20.3,9.7,18.6,0.5,1.8,6.9,8.6,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,.505,.524,.299,.802
85,Kevin Durant,2011-12,23,OKC,NBA,28.0,.610,.547,.230,66,66,38.6,9.7,19.7,7.7,14.4,2.0,5.2,6.5,7.6,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,.496,.535,.387,.860
86,Paul George,2018-19,28,OKC,NBA,28.0,.583,.529,.201,77,77,36.9,9.2,21.0,5.4,11.1,3.8,9.8,5.9,7.0,1.4,6.8,8.2,4.1,2.2,0.4,2.7,2.8,.438,.484,.386,.839
87,Karl Malone,1991-92,28,UTA,NBA,28.0,.599,.527,.237,81,81,37.7,9.9,18.7,9.8,18.5,0.0,0.2,8.3,10.7,2.8,8.4,11.2,3.0,1.3,0.6,3.1,2.8,.526,.530,.176,.778
88,Tracy McGrady,2003-04,24,ORL,NBA,28.0,.526,.473,.151,67,67,39.9,9.7,23.4,7.1,15.7,2.6,7.7,5.9,7.5,1.4,4.6,6.0,5.5,1.4,0.6,2.7,1.9,.417,.455,.339,.796
89,Kobe Bryant,2011-12,33,LAL,NBA,27.9,.527,.462,.132,58,58,38.5,9.9,23.0,8.4,18.1,1.5,4.9,6.6,7.8,1.1,4.3,5.4,4.6,1.2,0.3,3.5,1.8,.430,.464,.303,.845
90,Alex English,1984-85,31,DEN,NBA,27.9,.561,.518,.146,81,81,36.1,11.6,22.4,11.6,22.3,0.0,0.1,4.7,5.7,2.5,3.1,5.7,4.2,1.2,0.6,3.1,3.2,.518,.519,.200,.829
91,Moses Malone,1980-81,25,HOU,NBA,27.8,.585,.522,.202,80,,40.6,10.1,19.3,10.1,19.3,0.0,0.0,7.6,10.1,5.9,8.8,14.8,1.8,1.0,1.9,3.9,2.8,.522,.522,.333,.757
92,Hakeem Olajuwon,1994-95,32,HOU,NBA,27.8,.563,.517,.181,72,72,39.6,11.1,21.5,11.0,21.2,0.0,0.2,5.6,7.5,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,.517,.520,.188,.756
93,Giannis Antetokounmpo,2018-19,24,MIL,NBA,27.7,.644,.599,.292,72,72,32.8,10.0,17.3,9.3,14.5,0.7,2.8,6.9,9.5,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,.578,.641,.256,.729
94,Kevin Durant,2010-11,22,OKC,NBA,27.7,.589,.509,.189,78,78,38.9,9.1,19.7,7.3,14.4,1.9,5.3,7.6,8.7,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,.462,.504,.350,.880
95,Karl Malone,1987-88,24,UTA,NBA,27.7,.568,.520,.152,82,82,39.0,10.5,20.1,10.5,20.1,0.0,0.1,6.7,9.6,3.4,8.6,12.0,2.4,1.4,0.6,4.0,3.6,.520,.522,.000,.700
96,Charles Barkley,1990-91,27,PHI,NBA,27.6,.635,.589,.258,67,67,37.3,9.9,17.4,9.3,15.1,0.7,2.3,7.1,9.8,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,.570,.614,.284,.722
97,Kobe Bryant,2004-05,26,LAL,NBA,27.6,.563,.482,.145,66,66,40.7,8.7,20.1,6.7,14.2,2.0,5.9,8.2,10.1,1.4,4.5,5.9,6.0,1.3,0.8,4.1,2.6,.433,.472,.339,.816
98,Vince Carter,2000-01,24,TOR,NBA,27.6,.551,.509,.208,75,75,39.7,10.2,22.1,8.0,16.8,2.2,5.3,5.1,6.7,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,.460,.477,.408,.765
99,Allen Iverson,2002-03,27,PHI,NBA,27.6,.500,.436,.127,82,82,42.5,9.8,23.7,8.8,20.0,1.0,3.7,7.0,9.0,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,.414,.440,.277,.774
100,David Robinson,1994-95,29,SAS,NBA,27.6,.602,.532,.273,81,81,38.0,9.7,18.4,9.7,18.1,0.1,0.2,8.1,10.5,2.9,7.9,10.8,2.9,1.7,3.2,2.9,2.8,.530,.533,.300,.774
