Rk,Player,Season,Age,Tm,Lg,MP,G,BPM,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,VORP
38,Jayson Tatum,2017-18,19,BOS,NBA,30.5,80,1.0,80,2438,15.3,.290,.309,2.3,15.6,9.0,8.3,1.7,2.0,10.7,19.5,111,103,3.0,4.0,7.1,.139,-0.5,1.5,1.8
39,Brandon Jennings,2009-10,20,MIL,NBA,32.6,82,0.9,82,2671,14.5,.319,.225,2.0,10.4,6.0,29.6,2.1,0.5,13.0,26.1,100,104,0.3,3.9,4.2,.075,0.6,0.2,1.9
40,Ricky Rubio,2011-12,21,MIN,NBA,34.2,41,0.9,31,1404,14.6,.242,.404,1.6,11.9,6.7,37.4,3.3,0.4,22.2,18.7,99,104,0.5,1.5,2.0,.070,-0.2,1.1,1.0
41,Mario Chalmers,2008-09,22,MIA,NBA,32.0,82,0.8,82,2626,13.3,.470,.292,1.7,8.8,5.2,23.5,3.3,0.2,18.1,16.3,107,107,2.1,3.1,5.2,.095,0.4,0.3,1.8
42,Jorge Garbajosa,2006-07,29,TOR,NBA,28.5,67,0.8,60,1909,12.1,.365,.147,2.9,17.5,10.2,10.1,2.1,0.6,10.2,15.2,101,105,0.6,2.4,3.0,.074,-0.8,1.7,1.4
43,Jaren Jackson,2018-19,19,MEM,NBA,25.8,50,0.8,48,1291,17.3,.234,.327,5.2,15.6,10.2,7.9,1.8,5.4,12.2,23.1,109,107,1.2,1.9,3.1,.115,-0.9,1.7,0.9
44,Nerlens Noel,2014-15,20,PHI,NBA,30.8,75,0.8,71,2311,15.0,.000,.352,8.3,21.0,14.3,9.8,2.9,5.0,16.2,17.0,96,99,-0.2,4.2,4.0,.083,-3.7,4.5,1.6
45,Greg Oden,2008-09,21,POR,NBA,21.5,61,0.8,39,1314,18.1,.000,.644,15.7,24.5,20.0,3.9,1.1,4.2,16.2,19.3,116,104,2.6,2.0,4.6,.167,-0.2,0.9,0.9
46,Willie Cauley-Stein,2015-16,22,SAC,NBA,21.4,66,0.7,39,1412,15.3,.006,.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,119,107,2.4,1.4,3.8,.130,-0.8,1.5,1.0
47,OG Anunoby,2017-18,20,TOR,NBA,20.0,74,0.6,62,1481,10.0,.569,.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,113,108,1.4,1.6,3.0,.098,0.2,0.4,1.0
